XCOORD,YCOORD
-77.612770,37.661865
-77.615540,37.672993
-77.623942,37.684876
-77.449980,37.605700
-77.447300,37.609680
-77.434600,37.628950
-77.429830,37.634740
-77.424290,37.640320
-77.473780,37.616660
-77.490560,37.614210
-77.408960,37.557570
-77.408160,37.558710
-77.403960,37.565230
-77.400850,37.569760
-77.399250,37.572500
-77.398130,37.574120
-77.395890,37.577390
-77.393620,37.580340
-77.340190,37.498842
-78.227390,36.994890
-78.125260,36.962210
-78.124250,36.963330
-78.126760,36.960500
-78.540000,36.634830
-78.539990,36.634830
-78.556480,36.624740
-78.554940,36.655439
-78.458688,36.799209
-78.460040,36.802460
-78.117000,36.715710
-78.387700,36.670888
-78.387280,36.674495
-78.107700,36.708900
-78.095080,36.701730
-78.089320,36.699486
-77.190536,37.514329
-76.874160,37.501120
-76.826540,37.523820
-77.192530,37.510810
-77.044060,37.442470
-77.129900,37.480960
-78.122565,37.172451
-78.125400,37.175161
-78.216170,37.190372
-78.124410,37.175868
-77.943810,37.548039
-77.941600,37.550752
-77.884330,37.537820
-77.805649,37.517877
-77.823150,37.522450
-77.851200,37.529280
-78.036710,37.566520
-77.774493,37.511573
-77.941050,37.555430
-77.791915,37.514482
-77.688036,37.559026
-77.692090,37.559401
-77.669146,37.554581
-77.238670,37.284750
-77.225780,37.286490
-77.221950,37.286133
-77.335263,37.254865
-77.333660,37.256040
-77.350900,37.244270
-77.391100,37.220790
-77.392500,37.216890
-77.263900,37.233750
-77.299640,37.223240
-77.285660,37.222080
-77.366350,37.251640
-77.347300,37.257870
-77.278800,37.155351
-77.275350,37.156020
-77.320320,37.184970
-77.316110,37.182247
-77.319026,37.254275
-77.663208,37.460807
-77.498569,37.616972
-77.530590,37.665663
-77.382771,37.518185
-77.514230,38.015700
-77.515020,38.017540
-77.515590,38.019457
-77.479240,37.928500
-77.480000,37.931230
-77.480570,37.933764
-77.350580,38.055680
-77.344880,38.057986
-77.468740,37.937080
-77.371300,37.835127
-77.369390,37.834510
-77.367270,37.833772
-77.199780,38.163880
-77.201180,38.161832
-76.866760,37.903300
-76.865640,37.905350
-76.859020,37.923790
-76.858440,37.928960
-76.498900,37.253230
-76.500440,37.276550
-76.509500,37.291100
-76.510940,37.295420
-76.513030,37.311570
-76.513420,37.316470
-76.534030,37.384870
-76.529800,37.391520
-76.539580,37.414950
-76.542230,37.417010
-76.577170,37.438260
-76.612530,37.565600
-76.520130,37.412220
-76.531250,37.415286
-77.165240,38.257330
-77.204110,38.276300
-77.150540,38.235279
-77.150200,38.239080
-77.148900,38.241642
-77.143490,38.261657
-77.143700,38.264990
-77.142320,38.268194
-77.084150,38.335650
-77.072460,38.341270
-77.075500,38.339750
-77.081500,38.336778
-76.792170,37.626314
-76.795020,37.629050
-77.056050,37.803320
-76.799400,37.536990
-76.797890,37.537490
-77.133270,37.745120
-77.132350,37.746563
-77.104880,37.785880
-76.389230,37.648600
-76.384680,37.719900
-76.382590,37.717650
-76.379900,37.709690
-76.515000,37.777320
-76.512060,37.778286
-76.566250,37.601510
-76.595130,37.606290
-76.566250,37.601510
-76.566250,37.601510
-76.559900,37.969610
-76.275430,37.852651
-76.728850,37.997410
-76.748740,37.950920
-76.757930,37.958510
-76.776720,37.961280
-76.799750,37.965380
-77.497670,38.255490
-77.499040,38.244540
-77.499160,38.241710
-77.500400,38.237160
-77.500470,38.237190
-77.501900,38.235050
-77.504910,38.229600
-77.509210,38.193270
-77.521540,38.133640
-77.519500,38.133250
-77.495150,38.257140
-77.495510,38.264240
-77.492210,38.263460
-76.410680,37.099690
-76.419500,37.102532
-76.429340,37.106126
-76.438290,37.109182
-76.444240,37.113172
-76.450650,37.119280
-76.456130,37.125122
-76.469320,37.112899
-76.470350,37.114933
-76.463590,37.116956
-76.460000,37.117657
-76.432540,37.122298
-76.419720,37.123161
-76.410260,37.124818
-76.458180,37.102165
-76.456560,37.105377
-76.456320,37.110664
-76.456820,37.118211
-76.457180,37.120619
-76.458440,37.126245
-76.456480,37.140460
-76.456480,37.140460
-76.456760,37.140390
-76.458410,37.145336
-76.458860,37.147806
