PX,Main,Mid Block,Side 1,Side 2,Private Access,Additional Info,Geo ID,Node ID,X,Y,Latitude,Longitude,Activation Date,Signal System,Non system,Mode of Control,Pedestrian Walk speed,APS,Transit Preempt,Fire preempt,Rail preempt,No. of Signalized Approaches
752,KENNEDY RD,,SHEPPARD AVE E,,,,9637988,13445476,321826.88,4849058,43.7833,-79.28824,1958-01-31 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
757,YORK MILLS RD,,FENSIDE DR,,,,439731,13448645,318658.978,4846537.61,43.7607,-79.327757,1965-08-24 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
763,BROWNS LINE,,HORNER AVE,,,,11070075,13470438,301130.556,4828862.901,43.60169,-79.54523,1960-08-04 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
769,ST CLAIR AVE W,,NORTHCLIFFE BLVD,,,,1140712,13462184,309552.91,4837389.46,43.67845,-79.44084,1981-06-23 00:00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
773,ROYAL YORK RD,,MIMICO AVE,,,,7883897,13470120,305046.3731,4830033.5082,43.61226,-79.49672,1958-01-31 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
777,DUNDAS ST W,,BURNHAMTHORPE RD,CORDOVA AVE,,,3115737,13467261,302464.79,4834092.79,43.6488,-79.52873,1959-06-04 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
827,COLLEGE ST,,BEVERLEY ST,ST GEORGE ST,,,1144296,13465356,313180.307,4835200.549,43.6587,-79.39598,1929-08-17 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
830,COLLEGE ST,,DOVERCOURT RD,,,,10576713,13466246,310720.71,4834631.33,43.65364,-79.42638,1948-08-10 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
837,ST GEORGE ST,,WILLCOCKS ST,,,,11227023,13464829,313041.1,4835576.36,43.6621,-79.3976,1963-01-24 00:00:00.0,TransSuite,,PED,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,2
838,ST GEORGE ST,,HARBORD ST,HOSKIN AVE,,,14066667,13464524,312974.492,4835801.248,43.66411,-79.39841,1948-11-19 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
846,ANNETTE ST,,HIGH PARK AVE,,,,8005169,13464852,307263.251,4835660.13,43.66288,-79.46924,1950-01-06 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
860,ST CLAIR AVE W,,DEER PARK CRES,,,,1139432,13460447,313009.26,4838379.32,43.6873,-79.398,1969-09-18 00:00:00.0,TransSuite,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
864,VICTORIA PARK AVE,,CONSUMERS RD,MEADOWACRES DR,,,3814811,13446996,319152.95,4847791.27,43.77194,-79.32155,1971-08-24 00:00:00.0,Awaiting TransSuite Control,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
869,FINCH AVE E,,DON MILLS RD,,,,436837,13444423,316474.7,4850087.87,43.79268,-79.35472,1970-12-30 00:00:00.0,SCOOT,,FXT,"1.0 m/s (FDW based on 3/8th, 5/8th rule)",1,,,,4
873,DUFFERIN ST,,PLAYFAIR AVE,WENDERLY DR,,,9667777,0,308490.885,4840977.542,43.71071,-79.45401,1990-01-05 00:00:00.0,MTSS,,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,4
875,BURNHAMTHORPE RD,,THE WEST MALL,,,,911713,13467918,299358.655,4833625.826,43.64463,-79.5672,1969-06-17 00:00:00.0,TransSuite,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
886,BIRCHMOUNT RD,,BERTRAND AVE,,,,111078,13452416,322516.493,4843722.023,43.735227,-79.279862,1970-08-13 00:00:00.0,TransSuite,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,4
890,FINCH AVE W,,WILMINGTON AVE,,,,438945,13447550,307946.315,4847589.116,43.77027,-79.46071,1970-05-21 00:00:00.0,Awaiting TransSuite Control,,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),1,1,,,3
895,BAY ST,,YORKVILLE AVE,,,,7975169,13463253,313638.46,4836607.22,43.67139,-79.39017,1970-08-01 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,1,,4
896,BAY ST,,DAVENPORT RD,,,,7978576,13462968,313587.097,4836811.715,43.67309,-79.39084,1970-06-30 00:00:00.0,SCOOT,,FXT,1.0 m/s (FDW based on full crossing @1.2m/s),1,,,,3
