DIST,COUNTY,GPS_LAT,GPS_LONG,APPROACH1,APPROACH2,APPROACH3,APPROACH4
7,MADISON,37.7350505202,-84.3023150373,076 KY-876,076 KY-876,076 COLISEUM ENTRANCE, 
7,MADISON,37.7321546143,-84.2928926853,076 KY-876,076 KY-876,076 VICKERS DR,076 ENERSYS FACTORY
7,MADISON,37.736335005,-84.3254257865,076 KY-876,076 KY-876,076 I-75 RAMP, 
7,MADISON,37.7363300441,-84.3225047242,076 KY-876,076 KY-876,076 I-75 RAMP, 
7,MADISON,37.7341430047,-84.2991094036,076 KY-876,076 KY-876,076 KIT CARSON DR,076 KIT CARSON DR
7,MADISON,37.731125341,-84.2862364746,076 KY-876,076 KY-876,076 BOGGS LANE,076 BOGGS LANE
7,MADISON,37.7359647005,-84.3318022786,076 KY-876,076 KY-876,076 FRANKIE DR, 
7,MADISON,37.7363751253,-84.3355906094,076 KY-876,076 KY-876,076 GOGGINS LN,076 WILLIS BRANCH RD
7,MADISON,37.7314598723,-84.2822934899,076 KY-876B,076 KY-876B,076 RICHMOND MALL,076 CARRIAGE SHOPPING CTR
7,MADISON,37.5985652139,-84.299861151,076 KY-956,076 KY-956,076 KY-1983,076 KY-1983
7,MADISON,37.7488330829,-84.2977030368,076 US-25,076 US-25,076 KY-52, 
7,MADISON,37.7761357862,-84.3192633023,076 US-25,076 US-25,076 KEENELAND DRIVE,076 KEENELAND DRIVE
7,MADISON,37.7318992942,-84.2733007715,076 US-25,076 US-25,076 CENTER DR, 
7,MADISON,37.7335157702,-84.2742414507,076 US-25,076 US-25,076 US-25X,076 KY-876
7,MADISON,37.7741333018,-84.3141333024,076 US-25,076 US-25,076 I-75 RAMP,076 I-75 RAMP
7,MADISON,37.7006075437,-84.2616993566,076 US-25,076 US-25,076 DUNCANNON LANE,076 BG ARMY DEPOT
7,MADISON,37.7299320287,-84.2725774034,076 US-25,076 US-25,076 MARSHA KAY DR, 
7,MADISON,37.7423639266,-84.2667391935,076 US-25,076 US-25,076 KY-52,076 KY-52
7,MADISON,37.772273458,-84.3090628488,076 US-25,076 US-25,076 US-25X,076 KY-2875
7,MADISON,37.5685274817,-84.2966278728,076 US-25,076 US-25,076 FEE ST,076 BOONE ST
7,MADISON,37.5703509583,-84.2926132869,076 US-25,076 US-25,076 ELLIPSE, 
7,MADISON,37.5717824028,-84.2896187321,076 US-25,076 US-25,076 KY-21, 
7,MADISON,37.5726356457,-84.2887878565,076 US-25,076 US-25,076 KY-595,076 KY-595
7,MADISON,37.5822666607,-84.2840724353,076 US-25,076 US-25,076 ELLIPSE,076 FAIRGROUNDS RD
7,MADISON,37.5858875749,-84.2839036153,076 US-25,076 US-25,076 GLADES RD,076 GLADES RD
7,MADISON,37.5681657858,-84.3056112006,076 US-25,076 US-25,076 KY-21,076 ESTRIDGE CT
7,MADISON,37.7389454345,-84.2685342402,076 US-25,076 US-25,076 GIBSON BAY, 
7,MADISON,37.7607547626,-84.274174209,076 US-25,076 US-25,076 FOURMILE RD,076 FOURMILE RD
7,MADISON,37.7552419692,-84.2696700333,076 US-25,076 US-25,076 MERRICK DR,
7,MADISON,37.7728361429,-84.2970029855,076 US-25,076 US-25,076 OLD WILDERNESS TRL,076 OLD WILDERNESS TRL
7,MADISON,37.5996632556,-84.2831969481,076 US-25,076 US-25,076 KY-956,
7,MADISON,37.7327121606,-84.2759119899,076 US-25,076 US-25,076 KROGER,
7,MADISON,37.7724987318,-84.2877784668,076 US-25 BYPASS,076 US-25 BYPASS,076 KY-1986, 
7,MADISON,37.7439489115,-84.286507537,076 US-25X,076 US-25X,076 ESTILL AVE,076 ESTILL AVE
7,MADISON,37.7462207703,-84.291546865,076 US-25X,076 US-25X,076 COLLINS ST,076 COLLINS ST
7,MADISON,37.7468370129,-84.2929979508,076 US-25X,076 US-25X,076 MADISON ST,076 MADISON ST
7,MADISON,37.7473828094,-84.2942850994,076 US-25X,076 US-25X,076 1ST ST,076 1ST ST
7,MADISON,37.7477122081,-84.2950666308,076 US-25X,076 US-25X,076 KY-388,076 2ND ST
7,MADISON,37.7482257,-84.2962748726,076 US-25X,076 US-25X,076 3RD ST,076 3RD ST
7,MADISON,37.7386331845,-84.2817785598,076 US-25X,076 US-25X,076 BOGGS LANE,076 MORROW DR
7,MADISON,37.7509080647,-84.3025420824,076 US-25X,076 US-25X,076 KY-169, 
7,MERCER,37.7864792316,-84.8587986,084 KY 390,084 KY 390,084 INDUSTRY RD,084 MOBERLY RD
7,MERCER,37.733528364,-84.8335976541,084 US-127,084 US-127,084 US-127B, 
7,MERCER,37.7865790208,-84.8462519046,084 US-127,084 US-127,084 US-127B,084 KY-390
7,MERCER,37.7773919186,-84.8454338737,084 US-127,084 US-127,084 TAPP RD,084 COMMERCIAL DRIVE
7,MERCER,37.7695188641,-84.8449179433,084 US-127,084 US-127,084 KY-1989,084 PRICE
