MUTCD_CD,SIGNDESCRI,CARDINAL_D,ASSEMBLY_I,MILEPOINT,ROUTE_ID,XCOORD,YCOORD
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300044,7.226000000000000,055-KY-0030  -000,-83.942428,37.329200
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300035,8.029000000000000,055-KY-0030  -000,-83.933921,37.338100
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,300024,8.803000000000001,055-KY-0030  -000,-83.923151,37.344400
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300220,9.302000000000000,055-KY-0030  -000,-83.914241,37.343100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300223,9.500999999999999,055-KY-0030  -000,-83.910628,37.343100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,300229,9.810000000000000,055-KY-0030  -000,-83.905572,37.344600
R1-1,Marker STOP  (Text) R1-1,MEDIAN,300232,9.904999999999999,055-KY-0030  -000,-83.904258,37.345400
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299887,9.922000000000001,055-KY-0030  -000,-83.908381,37.356100
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299729,10.401000000000000,055-KY-0030  -000,-83.899871,37.358000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299879,12.176000000000000,055-KY-0030  -000,-83.877170,37.365300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299824,13.441000000000001,055-KY-0030  -000,-83.881552,37.381900
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299818,14.491000000000000,055-KY-0030  -000,-83.871201,37.393500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299810,15.513000000000000,055-KY-0030  -000,-83.854540,37.392300
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299805,16.099000000000000,055-KY-0030  -000,-83.846231,37.397300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299776,16.978000000000002,055-KY-0030  -000,-83.836401,37.389600
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299913,5.674000000000000,055-KY-0089  -000,-84.080819,37.344200
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299266,15.629000000000000,055-KY-0089  -000,-84.008391,37.429700
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299341,15.644000000000000,055-KY-0089  -000,-83.998619,37.430300
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299285,20.056000000000001,055-KY-0089  -000,-83.973300,37.477500
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299312,31.577000000000002,055-KY-0089  -000,-83.966601,37.580000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299525,0.019000000000000,055-KY-0290  -000,-83.978202,37.319000
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299532,0.439000000000000,055-KY-0290  -000,-83.978328,37.325000
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299518,1.111000000000000,055-KY-0290  -000,-83.977538,37.334500
R1-1,Marker STOP  (Text) R1-1,NON CARDINAL RIGHT,299510,1.547000000000000,055-KY-0290  -000,-83.974821,37.339800
R1-1,Marker STOP  (Text) R1-1,CARDINAL RIGHT,299544,1.550000000000000,055-KY-0290  -000,-83.974741,37.339900
